Year,East_team,West_team,Win_team
2010,Boston Celtics,Los Angeles Lakers,Los Angeles Lakers
2011,Miami Heat,Dallas Mavericks,Dallas Mavericks
2012,Miami Heat,Oklahoma City Thunder,Miami Heat
2013,Miami Heat,San Antonio Spurs,Miami Heat
2014,Miami Heat,San Antonio Spurs,San Antonio Spurs
2015,Cleveland Cavaliers,Golden State Warriors,Golden State Warriors
2016,Cleveland Cavaliers,Golden State Warriors,Cleveland Cavaliers
2017,Cleveland Cavaliers,Golden State Warriors,Golden State Warriors
2018,Cleveland Cavaliers,Golden State Warriors,Golden State Warriors
2019,Toronto Raptors,Golden State Warriors,Toronto Raptors
2020,Miami Heat,Los Angeles Lakers,Los Angeles Lakers
2021,Milwaukee Bucks,Phoenix Suns,Milwaukee Bucks
2022,Boston Celtics,Golden State Warriors,Golden State Warriors
2023,Miami Heat,Denver Nuggets,Denver Nuggets
2024,Boston Celtics,Dallas Mavericks,
