Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,21,5040,42.3,90.2,0.469,13.6,33.4,0.406,28.7,56.8,0.506,17.4,24.1,0.725,11.8,35.9,47.7,23.4,8.6,4.7,13.8,21.6,115.5
2,Oklahoma City Thunder,18,4320,40.1,88.8,0.452,8.7,26.1,0.333,31.5,62.6,0.502,22.8,28.9,0.786,13.1,36.2,49.3,21.5,8.1,5.7,14.6,21.4,111.8
3,San Antonio Spurs,10,2400,42.1,89.8,0.469,8.9,20.8,0.429,33.2,69,0.481,17.8,22.3,0.8,8.6,34.4,43,23.2,9.9,7.6,12.6,19.8,111
4,Golden State Warriors,24,5785,39.9,87.9,0.455,13.1,33.3,0.393,26.9,54.6,0.492,17.6,23.9,0.735,10.8,33.6,44.3,24.9,8.2,5.6,14.4,22.5,110.5
5,Detroit Pistons,4,960,41.5,86.6,0.478,10.1,26.8,0.376,31.4,59.9,0.524,16.4,25.3,0.648,8.1,35.4,43.5,25,6,3.7,12.1,21.9,109.4
6,Portland Trail Blazers,11,2665,38.2,91.7,0.416,12.3,32.2,0.381,25.9,59.5,0.436,19.5,26.3,0.74,13.3,35.7,49,22.2,6.4,4,13.5,24.1,108.1
7,Indiana Pacers,7,1680,37.2,84.3,0.441,9.2,24,0.383,28,60.3,0.464,22,26.9,0.82,10.3,33.9,44.2,20.4,8.5,6.3,16.2,25.1,105.5
8,Miami Heat,14,3435,40,87.3,0.458,7.4,20.8,0.358,32.5,66.6,0.489,17.7,23.1,0.765,9.8,38.1,48,17.7,5.9,6.4,14.3,23,105.1
9,Los Angeles Clippers,6,1440,39.7,90.7,0.437,6,20.8,0.291,33.6,69.9,0.481,19.6,31.3,0.625,12.1,37.2,49.3,19.4,9.1,5,10.3,21.9,104.9
10,Atlanta Hawks,10,2425,37.8,87.7,0.432,11,32.9,0.333,26.9,54.8,0.491,16.9,21.2,0.795,9.2,36.6,45.8,23.4,7.8,7.9,14.9,20.9,103.5
11,Toronto Raptors,20,4875,37.7,89.6,0.421,7.5,25.3,0.298,30.2,64.3,0.469,19.9,27,0.737,11.9,32.5,44.4,17.3,8.3,4,14.3,24.1,102.8
12,Dallas Mavericks,5,1200,38.5,88.4,0.436,6.8,23.3,0.29,31.8,65.1,0.488,18.3,26.4,0.694,10,28.1,38.1,22.4,6.5,2.6,12.8,26.1,102.1
13,Charlotte Hornets,7,1680,35,88.4,0.396,6.3,20.4,0.308,28.7,68,0.423,22.9,27.3,0.839,7.8,32.7,40.5,14.9,6.3,3.6,10.4,19.2,99.2
14,Boston Celtics,6,1465,34.3,89.5,0.384,8.7,31.5,0.275,25.7,58,0.443,16.5,21,0.786,10.7,35.3,46,21,6.3,6.5,14.7,22,93.8
15,Houston Rockets,5,1200,33.5,87,0.386,7.7,28.9,0.268,25.8,58.1,0.444,17.9,27.9,0.642,14.6,33.5,48.2,18.3,8.5,4.3,19.3,26,92.7
16,Memphis Grizzlies,4,960,35.9,91.2,0.394,5.3,18,0.297,30.6,73.3,0.418,13.8,19.6,0.7,15.4,30.6,46,18.5,8.7,4.5,17.4,24.1,90.9
